filename,stat,value
std,adj_count,537.2926214932708
script_indiana-jones-and-the-last-crusade_1989.txt,adv_count,1052.0
script_indiana-jones-and-the-temple-of-doom_1984.txt,adv_count,1452.0
script_la-la-land_2016.txt,adv_count,976.0
script_lara-croft-tomb-raider_2001.txt,adv_count,1424.0
script_national-treasure_2004.txt,adv_count,1209.0
script_office-space_1999.txt,adv_count,750.0
script_raiders-of-the-lost-ark_1981.txt,adv_count,1342.0
script_the-mummy_1999.txt,adv_count,1428.0
script_titanic_1997.txt,adv_count,2042.0
min,adv_count,750.0
25%,adv_count,1052.0
50%,adv_count,1342.0
75%,adv_count,1428.0
max,adv_count,2042.0
mean,adv_count,1297.2222222222222
std,adv_count,368.1683642634772
script_indiana-jones-and-the-last-crusade_1989.txt,verb_noun_ratio,0.4238336713995943
script_indiana-jones-and-the-temple-of-doom_1984.txt,verb_noun_ratio,0.5149831496493306
script_la-la-land_2016.txt,verb_noun_ratio,0.490693983552157
script_lara-croft-tomb-raider_2001.txt,verb_noun_ratio,0.4261524909464618
script_national-treasure_2004.txt,verb_noun_ratio,0.366985565626049
script_office-space_1999.txt,verb_noun_ratio,0.6268803945745992
script_raiders-of-the-lost-ark_1981.txt,verb_noun_ratio,0.5093850461474645
script_the-mummy_1999.txt,verb_noun_ratio,0.44183206106870226
script_titanic_1997.txt,verb_noun_ratio,0.5085599194360524
min,verb_noun_ratio,0.366985565626049
25%,verb_noun_ratio,0.4261524909464618
50%,verb_noun_ratio,0.490693983552157
75%,verb_noun_ratio,0.5093850461474645
max,verb_noun_ratio,0.6268803945745992
mean,verb_noun_ratio,0.47881180915560123
std,verb_noun_ratio,0.07488469532452559
script_indiana-jones-and-the-last-crusade_1989.txt,adj_noun_ratio,0.11186612576064908
script_indiana-jones-and-the-temple-of-doom_1984.txt,adj_noun_ratio,0.17187357682849075
script_la-la-land_2016.txt,adj_noun_ratio,0.18453325638436013
script_lara-croft-tomb-raider_2001.txt,adj_noun_ratio,0.14955466379563473
script_national-treasure_2004.txt,adj_noun_ratio,0.09541792547834844
script_office-space_1999.txt,adj_noun_ratio,0.11763255240443897
script_raiders-of-the-lost-ark_1981.txt,adj_noun_ratio,0.19796743751944415
script_the-mummy_1999.txt,adj_noun_ratio,0.13770992366412213
script_titanic_1997.txt,adj_noun_ratio,0.15347432024169183
min,adj_noun_ratio,0.09541792547834844
25%,adj_noun_ratio,0.11763255240443897
50%,adj_noun_ratio,0.14955466379563473
75%,adj_noun_ratio,0.17187357682849075
max,adj_noun_ratio,0.19796743751944415
mean,adj_noun_ratio,0.14666997578635335
std,adj_noun_ratio,0.0344899165696475
